"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2025","229.53","230.32","231.24","228.55","33.12M","0.18%"
"12/04/2025","229.11","232.77","233.50","226.80","45.68M","-1.41%"
"12/03/2025","232.38","233.35","233.38","230.61","35.50M","-0.87%"
"12/02/2025","234.42","235.01","238.97","233.55","45.79M","0.23%"
"12/01/2025","233.88","233.22","235.80","232.25","42.90M","0.28%"
"11/28/2025","233.22","231.24","233.29","230.22","20.29M","1.77%"
"11/26/2025","229.16","230.74","231.75","228.77","38.50M","-0.22%"
"11/25/2025","229.67","226.38","230.52","223.80","39.38M","1.50%"
"11/24/2025","226.28","222.55","227.33","222.27","54.32M","2.53%"
"11/21/2025","220.69","216.35","222.21","215.18","68.49M","1.63%"
"11/20/2025","217.14","227.05","227.41","216.74","50.31M","-2.49%"
"11/19/2025","222.69","223.74","223.74","218.52","58.34M","0.06%"
"11/18/2025","222.55","228.10","230.20","222.42","60.61M","-4.43%"
"11/17/2025","232.87","233.25","234.60","229.19","59.92M","-0.78%"
"11/14/2025","234.69","235.06","238.73","232.89","38.96M","-1.22%"
"11/13/2025","237.58","243.05","243.75","236.50","41.40M","-2.71%"
"11/12/2025","244.20","250.24","250.37","243.75","31.19M","-1.97%"
"11/11/2025","249.10","248.41","249.75","247.23","23.56M","0.28%"
"11/10/2025","248.40","248.34","251.75","245.59","36.48M","1.63%"
"11/07/2025","244.41","242.90","244.90","238.49","46.37M","0.56%"
"11/06/2025","243.04","249.15","250.38","242.17","46.00M","-2.86%"
"11/05/2025","250.20","249.03","251.00","246.16","40.61M","0.35%"
"11/04/2025","249.32","250.38","257.01","248.66","51.55M","-1.84%"
"11/03/2025","254.00","255.36","258.60","252.90","96.00M","4.00%"
"10/31/2025","244.22","250.10","250.50","243.98","166.34M","9.58%"
"10/30/2025","222.86","227.06","228.44","222.75","102.25M","-3.23%"
"10/29/2025","230.30","231.67","232.82","227.76","52.04M","0.46%"
"10/28/2025","229.25","228.21","231.49","226.21","47.10M","1.00%"
"10/27/2025","226.97","227.66","228.40","225.54","38.27M","1.23%"
"10/24/2025","224.21","221.97","225.40","221.90","38.69M","1.41%"
"10/23/2025","221.09","219.00","221.30","218.18","31.54M","1.44%"
"10/22/2025","217.95","219.30","220.01","216.52","44.31M","-1.84%"
"10/21/2025","222.03","218.43","223.32","217.99","50.49M","2.56%"
"10/20/2025","216.48","213.88","216.69","213.59","38.88M","1.61%"
"10/17/2025","213.04","214.56","214.80","211.03","45.99M","-0.67%"
"10/16/2025","214.47","215.67","218.59","212.81","42.41M","-0.51%"
"10/15/2025","215.57","216.62","217.71","212.66","45.91M","-0.38%"
"10/14/2025","216.39","215.55","219.32","212.60","45.67M","-1.67%"
"10/13/2025","220.07","217.70","220.68","217.04","37.81M","1.71%"
"10/10/2025","216.37","226.21","228.25","216.00","72.37M","-4.99%"
"10/09/2025","227.74","224.99","228.21","221.75","46.41M","1.12%"
"10/08/2025","225.22","222.92","226.73","221.19","46.69M","1.55%"
"10/07/2025","221.78","220.88","222.89","220.17","31.19M","0.40%"
